例 Freq = 2682  TF = 0.018342725830278492  IDF = 2.5450816320636154  TF-IDF = 0.04668373459262062
病例 Freq = 1643  TF = 0.011236800350166876  IDF = 2.186323166628926  TF-IDF = 0.02456727692435387
新增 Freq = 956  TF = 0.0065382721453192535  IDF = 2.727431377760655  TF-IDF = 0.017832688605482205
确诊 Freq = 1234  TF = 0.00843956885703343  IDF = 2.0558532347335174  TF-IDF = 0.017350514934488432
武汉 Freq = 1138  TF = 0.007783005963779613  IDF = 2.113956189297086  TF-IDF = 0.016452933628468044
冠 Freq = 1366  TF = 0.009342342835257427  IDF = 1.5954358319506645  TF-IDF = 0.014905108513737263
肺炎 Freq = 1360  TF = 0.009301307654429063  IDF = 1.5469861802489753  TF-IDF = 0.014388994399645772
湖北 Freq = 899  TF = 0.006148437927449801  IDF = 2.316719803884601  TF-IDF = 0.014244207909478146
疫情 Freq = 1331  TF = 0.009102970947091973  IDF = 1.526173169513551  TF-IDF = 0.013892710022313126
医院 Freq = 715  TF = 0.004890025715379985  IDF = 2.599383016467328  TF-IDF = 0.01271104979464723
诊病 Freq = 690  TF = 0.004719045795261804  IDF = 2.647611296963527  TF-IDF = 0.012494198958423384
患者 Freq = 621  TF = 0.004247141215735624  IDF = 2.8257334513724586  TF-IDF = 0.012001289006006844
人民 Freq = 773  TF = 0.005286699130054167  IDF = 2.105511121040829  TF-IDF = 0.011131203811925923
累计 Freq = 549  TF = 0.003754719045795262  IDF = 2.951264333456318  TF-IDF = 0.011081168402004694
病毒 Freq = 595  TF = 0.004069322098812715  IDF = 2.6354022392683096  TF-IDF = 0.010724300571515048
出院 Freq = 471  TF = 0.003221261695026536  IDF = 3.271931882137763  TF-IDF = 0.010539748840666455
防控 Freq = 644  TF = 0.004404442742244351  IDF = 2.383215215671508  TF-IDF = 0.010496734959870678
北京 Freq = 373  TF = 0.002551020408163265  IDF = 3.7017447340970056  TF-IDF = 0.00944322636249236
日本 Freq = 303  TF = 0.0020722766318323578  IDF = 4.55654681855707  TF-IDF = 0.00944242549394589
口罩 Freq = 340  TF = 0.0023253269136072658  IDF = 3.81651492134308  TF-IDF = 0.00887464486278278
国家 Freq = 413  TF = 0.0028245882803523553  IDF = 2.9973935041855184  TF-IDF = 0.008466402563526694
感染 Freq = 421  TF = 0.0028793018547901734  IDF = 2.9262603273264234  TF-IDF = 0.00842558678806987
治愈 Freq = 337  TF = 0.0023048093231930844  IDF = 3.564241210347071  TF-IDF = 0.008214896371716933
发布 Freq = 445  TF = 0.0030434425781036274  IDF = 2.6890709040618948  TF-IDF = 0.008184032884961586
医疗 Freq = 341  TF = 0.002332166110411993  IDF = 3.4817790501550974  TF-IDF = 0.008120087104714176
死亡 Freq = 332  TF = 0.002270613339169448  IDF = 3.5038053564850964  TF-IDF = 0.007955787180288424
韩国 Freq = 237  TF = 0.0016208896427203588  IDF = 4.863208156791122  TF-IDF = 0.007882723731735895
人民日报 Freq = 405  TF = 0.002769874705914537  IDF = 2.7579888447366248  TF-IDF = 0.007639283540230433
隔离 Freq = 302  TF = 0.0020654374350276305  IDF = 3.627319892970451  TF-IDF = 0.007492002295761587
疫 Freq = 357  TF = 0.0024415932592876293  IDF = 3.039673307678083  TF-IDF = 0.00742164585846334
医护 Freq = 273  TF = 0.00186710072769054  IDF = 3.7017447340970056  TF-IDF = 0.006911530286757143
伊朗 Freq = 177  TF = 0.0012105378344367237  IDF = 5.4672794804599825  TF-IDF = 0.006618348662536363
一线 Freq = 268  TF = 0.0018329047436669037  IDF = 3.579754209718395  TF-IDF = 0.006561348472154414
武汉市 Freq = 247  TF = 0.0016892816107676315  IDF = 3.8537478275420556  TF-IDF = 0.006510065337602504
州市 Freq = 198  TF = 0.0013541609673359961  IDF = 4.807354922057604  TF-IDF = 0.006509932391580987
卫生 Freq = 269  TF = 0.001839743940471631  IDF = 3.4457997530495312  TF-IDF = 0.006339389215751517
报告 Freq = 243  TF = 0.0016619248235487224  IDF = 3.7802187921200905  TF-IDF = 0.006282439449069746
检测 Freq = 212  TF = 0.0014499097226021776  IDF = 4.240770950651303  TF-IDF = 0.006148735032678204
中央 Freq = 213  TF = 0.0014567489194069049  IDF = 4.14535138557262  TF-IDF = 0.00603873615149483
记者 Freq = 268  TF = 0.0018329047436669037  IDF = 3.2782456560699655  TF-IDF = 0.00600871201391606
发布会 Freq = 231  TF = 0.0015798544618919955  IDF = 3.771285667350082  TF-IDF = 0.005958082488632359
天 Freq = 224  TF = 0.0015319800842589046  IDF = 3.8823169797388264  TF-IDF = 0.005947632293740063
重症 Freq = 219  TF = 0.0014977841002352683  IDF = 3.901682304605757  TF-IDF = 0.005843877720007802
委 Freq = 250  TF = 0.0017097992011818133  IDF = 3.396890152568585  TF-IDF = 0.005808000069364134
冠状 Freq = 227  TF = 0.0015524976746730864  IDF = 3.6112897831515016  TF-IDF = 0.0056065189909133804
新型 Freq = 225  TF = 0.0015388192810636319  IDF = 3.627319892970451  TF-IDF = 0.005581789789888599
冠状病毒 Freq = 223  TF = 0.0015251408874541773  IDF = 3.64353012015171  TF-IDF = 0.0055568967609142044
管理 Freq = 200  TF = 0.0013678393609454506  IDF = 4.034320073183877  TF-IDF = 0.005518301790753238
医疗队 Freq = 181  TF = 0.0012378946216556328  IDF = 4.410695952093615  TF-IDF = 0.005459976796854957
抗 Freq = 213  TF = 0.0014567489194069049  IDF = 3.693283155348809  TF-IDF = 0.005380186245618102
医生 Freq = 180  TF = 0.0012310554248509055  IDF = 4.36966868383356  TF-IDF = 0.0053793043380344205
健康 Freq = 205  TF = 0.0014020353449690868  IDF = 3.8257334513724586  TF-IDF = 0.00536381351925476
湖北省 Freq = 201  TF = 0.001374678557750178  IDF = 3.8823169797388264  TF-IDF = 0.005336937906436396
大利 Freq = 142  TF = 0.0009711659462712699  IDF = 5.4672794804599825  TF-IDF = 0.005309635650170416
医务 Freq = 157  TF = 0.0010737538983421786  IDF = 4.92131111135469  TF-IDF = 0.005284276990771778
治疗 Freq = 184  TF = 0.0012584122120698146  IDF = 4.14535138557262  TF-IDF = 0.005216560806925111
张 Freq = 172  TF = 0.0011763418504130874  IDF = 4.410695952093615  TF-IDF = 0.005188486237895317
意大利 Freq = 136  TF = 0.0009301307654429064  IDF = 5.55654681855707  TF-IDF = 0.005168315145563834
称 Freq = 203  TF = 0.0013883569513596322  IDF = 3.7017447340970056  TF-IDF = 0.005139343033742491
防护 Freq = 175  TF = 0.0011968594408272692  IDF = 4.29095670781952  TF-IDF = 0.00513567204593489
接触 Freq = 178  TF = 0.001217377031241451  IDF = 4.192272432960113  TF-IDF = 0.005103576168592357
国务 Freq = 169  TF = 0.0011558242599989058  IDF = 4.356248168071239  TF-IDF = 0.005035057315232528
要求 Freq = 185  TF = 0.0012652514088745419  IDF = 3.9412106687923947  TF-IDF = 0.004986622351360953
国务院 Freq = 165  TF = 0.0011284674727799968  IDF = 4.410695952093615  TF-IDF = 0.004977326914260043
研究 Freq = 170  TF = 0.0011626634568036329  IDF = 4.265645619290332  TF-IDF = 0.00495951028122337
疑似 Freq = 173  TF = 0.0011831810472178147  IDF = 4.168621164895467  TF-IDF = 0.004932233555335365
防疫 Freq = 180  TF = 0.0012310554248509055  IDF = 3.9818526532897405  TF-IDF = 0.004901881309789307
卫 Freq = 192  TF = 0.0013131257865076325  IDF = 3.718818247455947  TF-IDF = 0.004883276136069526
社区 Freq = 150  TF = 0.001025879520709088  IDF = 4.753583665616624  TF-IDF = 0.004876604132533332
措施 Freq = 169  TF = 0.0011558242599989058  IDF = 4.216317906926764  TF-IDF = 0.004873322524693763
医护人员 Freq = 173  TF = 0.0011831810472178147  IDF = 4.111135670234708  TF-IDF = 0.004864217807562814
中心 Freq = 177  TF = 0.0012105378344367237  IDF = 3.9921945975112  TF-IDF = 0.004832702602721196
健 Freq = 188  TF = 0.0012857689992887235  IDF = 3.7448134559888917  TF-IDF = 0.004814965049829784
方舱 Freq = 135  TF = 0.0009232915686381791  IDF = 5.204245074626189  TF-IDF = 0.004805035598529132
学生 Freq = 138  TF = 0.0009438091590523609  IDF = 5.088767857206253  TF-IDF = 0.0048028257119225185
拍 Freq = 195  TF = 0.0013336433769218143  IDF = 3.579754209718395  TF-IDF = 0.004774115492798921
年 Freq = 160  TF = 0.0010942714887563604  IDF = 4.356248168071239  TF-IDF = 0.004766918168267482
政府 Freq = 168  TF = 0.0011489850631941786  IDF = 4.122450983462541  TF-IDF = 0.004736634603748612
秒 Freq = 187  TF = 0.0012789298024839962  IDF = 3.587573714177694  TF-IDF = 0.004588254941670055
报道 Freq = 165  TF = 0.0011284674727799968  IDF = 4.055853234733518  TF-IDF = 0.004576898449766308
组织 Freq = 151  TF = 0.0010327187175138153  IDF = 4.424635143051488  TF-IDF = 0.00456940353039869
教育 Freq = 135  TF = 0.0009232915686381791  IDF = 4.941210668792395  TF-IDF = 0.004562178149361036
医务人员 Freq = 127  TF = 0.0008685779942003611  IDF = 5.228492620872866  TF-IDF = 0.004541353633329143
消毒 Freq = 126  TF = 0.0008617387973956338  IDF = 5.253154675107135  TF-IDF = 0.004526847192260074
生动 Freq = 110  TF = 0.0007523116485199978  IDF = 5.941210668792396  TF-IDF = 0.004469641992443806
野生 Freq = 108  TF = 0.0007386332549105433  IDF = 6.023672828984368  TF-IDF = 0.004449285068188924
动物 Freq = 116  TF = 0.0007933468293483614  IDF = 5.587573714177695  TF-IDF = 0.004432883889893121
公主 Freq = 124  TF = 0.0008480604037861794  IDF = 5.204245074626189  TF-IDF = 0.004413514179389721
救治 Freq = 156  TF = 0.0010669147015374514  IDF = 4.111135670234708  TF-IDF = 0.0043862310865884335
​​​​ Freq = 172  TF = 0.0011763418504130874  IDF = 3.7102562339525225  TF-IDF = 0.004364529683754404
期间 Freq = 155  TF = 0.001060075504732724  IDF = 4.055853234733518  TF-IDF = 0.004299510664931986
加油 Freq = 142  TF = 0.0009711659462712699  IDF = 4.424635143051488  TF-IDF = 0.004297054975606714
企业 Freq = 126  TF = 0.0008617387973956338  IDF = 4.961388550730025  TF-IDF = 0.004275421003118558
疑似病例 Freq = 136  TF = 0.0009301307654429064  IDF = 4.587573714177695  TF-IDF = 0.004267043450293856
连续 Freq = 143  TF = 0.0009780051430759971  IDF = 4.356248168071239  TF-IDF = 0.004260433112889062
安全 Freq = 141  TF = 0.0009643267494665427  IDF = 4.410695952093615  TF-IDF = 0.004253352090367674
专家 Freq = 138  TF = 0.0009438091590523609  IDF = 4.481779050155097  TF-IDF = 0.004229944116385371
神山 Freq = 113  TF = 0.0007728292389341796  IDF = 5.4672794804599825  TF-IDF = 0.004225273439924345
下午 Freq = 159  TF = 0.0010874322919516332  IDF = 3.8727309309096283  TF-IDF = 0.004211332672311039
中医 Freq = 113  TF = 0.0007728292389341796  IDF = 5.438710328263212  TF-IDF = 0.00420319436377512
