Vocabularies loaded: 18130
例 Freq = 1410  TF = 0.011151446129024604  IDF = 2.4133416074168292  TF-IDF = 0.026912248926042416
病例 Freq = 1513  TF = 0.011966055314336331  IDF = 2.0507715280321204  TF-IDF = 0.024539645541498394
北京 Freq = 1251  TF = 0.009893942629368638  IDF = 1.8761670056499382  TF-IDF = 0.018562688717014834
确诊 Freq = 995  TF = 0.007869282906652115  IDF = 2.0256805470692902  TF-IDF = 0.01594065330339007
诊病 Freq = 688  TF = 0.005441273004800658  IDF = 2.5086221108499376  TF-IDF = 0.01365009777101381
检测 Freq = 656  TF = 0.005188190539461093  IDF = 2.616875001501961  TF-IDF = 0.013576846125744706
新增 Freq = 536  TF = 0.004239131294437722  IDF = 2.8104125601662235  TF-IDF = 0.011913707834081475
市场 Freq = 413  TF = 0.003266345568288767  IDF = 3.4799393561458527  TF-IDF = 0.011366684493860671
病毒 Freq = 630  TF = 0.004982561036372696  IDF = 2.2787994840380015  TF-IDF = 0.011354257518873949
冠 Freq = 1278  TF = 0.010107480959498897  IDF = 1.07201926173616  TF-IDF = 0.010835414276214301
防控 Freq = 610  TF = 0.004824384495535467  IDF = 2.192499637643781  TF-IDF = 0.010577461258315787
疫情 Freq = 1473  TF = 0.011649702232661874  IDF = 0.8893081053380044  TF-IDF = 0.01036017462028045
医院 Freq = 389  TF = 0.003076533719284093  IDF = 3.192499637643781  TF-IDF = 0.009821832784013341
输入 Freq = 336  TF = 0.0026573658860654377  IDF = 3.6742081765679124  TF-IDF = 0.009763715466714267
新发 Freq = 338  TF = 0.0026731835401491606  IDF = 3.635734028753277  TF-IDF = 0.009718984362023455
肺炎 Freq = 852  TF = 0.006738320639665931  IDF = 1.3971616803613944  TF-IDF = 0.009414523387729518
核酸 Freq = 352  TF = 0.0027839071187352204  IDF = 3.308752706139629  TF-IDF = 0.009211260212756539
感染 Freq = 427  TF = 0.003377069146874827  IDF = 2.6742081765679124  TF-IDF = 0.009030985925407886
症状 Freq = 334  TF = 0.0026415482319817147  IDF = 3.329072690519225  TF-IDF = 0.00879390607977967
累计 Freq = 321  TF = 0.002538733480437516  IDF = 3.4133416074168292  TF-IDF = 0.008665564618919513
境外 Freq = 288  TF = 0.0022777421880560895  IDF = 3.7821235157348005  TF-IDF = 0.008614702292228174
武汉 Freq = 281  TF = 0.0022223803987630594  IDF = 3.661269120860415  TF-IDF = 0.008136732728796645
隔离 Freq = 341  TF = 0.002696910021274745  IDF = 3.0091924242807218  TF-IDF = 0.008115521204986723
口罩 Freq = 270  TF = 0.002135383301302584  IDF = 3.5261095375787783  TF-IDF = 0.007529595425109499
人民 Freq = 387  TF = 0.00306071606520037  IDF = 2.418775493467457  TF-IDF = 0.0074031850109687975
死亡 Freq = 315  TF = 0.002491280518186348  IDF = 2.9450620868610056  TF-IDF = 0.007336975801846053
报告 Freq = 275  TF = 0.002174927436511891  IDF = 3.318876923413337  TF-IDF = 0.00721831647913784
特朗普 Freq = 217  TF = 0.0017162154680839285  IDF = 4.201837502223118  TF-IDF = 0.007211258515690453
京市 Freq = 281  TF = 0.0022223803987630594  IDF = 3.1832218240557704  TF-IDF = 0.007074329786696336
北京市 Freq = 278  TF = 0.002198653917637475  IDF = 3.211236200225367  TF-IDF = 0.007060397052084783
央视 Freq = 416  TF = 0.0032900720494143513  IDF = 2.128774040033394  TF-IDF = 0.007003819968632736
患者 Freq = 243  TF = 0.0019218449711723255  IDF = 3.585980993556177  TF-IDF = 0.006891699539185479
专家 Freq = 242  TF = 0.001913936144130464  IDF = 3.5378867053551324  TF-IDF = 0.006771289239217834
阳性 Freq = 219  TF = 0.0017320331221676512  IDF = 3.868711200730891  TF-IDF = 0.006700735939766888
国家 Freq = 273  TF = 0.002159109782428168  IDF = 3.0339958152812945  TF-IDF = 0.006550730044619968
发布 Freq = 338  TF = 0.0026731835401491606  IDF = 2.407928111230465  TF-IDF = 0.006436833792803736
大利 Freq = 187  TF = 0.0014789506568280858  IDF = 4.339341025973052  TF-IDF = 0.006417671260563905
湖北 Freq = 198  TF = 0.0015659477542885616  IDF = 4.076306620139258  TF-IDF = 0.0063832831975986675
称 Freq = 299  TF = 0.002364739285516565  IDF = 2.667724142997714  TF-IDF = 0.006308472083867705
单位 Freq = 171  TF = 0.001352409424158303  IDF = 4.5617334473095  TF-IDF = 0.006169331304639512
观察 Freq = 213  TF = 0.0016845801599164828  IDF = 3.635734028753277  TF-IDF = 0.006124685411570994
临床 Freq = 160  TF = 0.0012654123266978275  IDF = 4.7961987009465235  TF-IDF = 0.006069168957469838
​​​​ Freq = 461  TF = 0.0036459692662981153  IDF = 1.6294202548210748  TF-IDF = 0.005940816170961282
学生 Freq = 177  TF = 0.0013998623864094717  IDF = 4.239805352422138  TF-IDF = 0.005935144038553305
疫 Freq = 243  TF = 0.0019218449711723255  IDF = 3.0256805470692907  TF-IDF = 0.005814888943759047
记者 Freq = 273  TF = 0.002159109782428168  IDF = 2.6742081765679124  TF-IDF = 0.005773909034277174
措施 Freq = 207  TF = 0.0016371271976653142  IDF = 3.491344119418102  TF-IDF = 0.005715774414308231
意大利 Freq = 151  TF = 0.0011942328833210746  IDF = 4.74070358835482  TF-IDF = 0.005661504115291541
全球 Freq = 200  TF = 0.0015817654083722843  IDF = 3.5378867053551324  TF-IDF = 0.005596106809270937
地市 Freq = 152  TF = 0.0012021417103629361  IDF = 4.610643047790447  TF-IDF = 0.005542646319343788
健康 Freq = 211  TF = 0.0016687625058327599  IDF = 3.318876923413337  TF-IDF = 0.005538417371265761
社区 Freq = 163  TF = 0.0012891388078234117  IDF = 4.278799484038001  TF-IDF = 0.005515966465768177
出院 Freq = 151  TF = 0.0011942328833210746  IDF = 4.514427732531144  TF-IDF = 0.005391278047565289
接触 Freq = 187  TF = 0.0014789506568280858  IDF = 3.635734028753277  TF-IDF = 0.005377071229876881
医疗 Freq = 185  TF = 0.001463133002744363  IDF = 3.661269120860415  TF-IDF = 0.005356923682659713
组织 Freq = 164  TF = 0.0012970476348652732  IDF = 4.111072038299935  TF-IDF = 0.005332256264037688
天 Freq = 157  TF = 0.0012416858455722433  IDF = 4.278799484038001  TF-IDF = 0.005312924755371803
感染者 Freq = 163  TF = 0.0012891388078234117  IDF = 4.093584611571094  TF-IDF = 0.005277198785885024
国际 Freq = 170  TF = 0.0013445005971164416  IDF = 3.9140351912403815  TF-IDF = 0.005262422651757459
卫生 Freq = 199  TF = 0.0015738565813304228  IDF = 3.318876923413337  TF-IDF = 0.005223436288539746
风险 Freq = 161  TF = 0.001273321153739689  IDF = 4.076306620139258  TF-IDF = 0.005190447448552452
地区 Freq = 175  TF = 0.0013840447323257487  IDF = 3.7407035883548194  TF-IDF = 0.005177301096654514
无症状 Freq = 151  TF = 0.0011942328833210746  IDF = 4.239805352422138  TF-IDF = 0.005063314970743215
医学 Freq = 169  TF = 0.0013365917700745803  IDF = 3.7821235157348005  TF-IDF = 0.005055155164536672
要求 Freq = 171  TF = 0.001352409424158303  IDF = 3.700439718141092  TF-IDF = 0.005004509548343708
丰台 Freq = 127  TF = 0.0010044210343164005  IDF = 4.976770946588344  TF-IDF = 0.004998773421728076
英国 Freq = 137  TF = 0.0010835093047350146  IDF = 4.537886705355133  TF-IDF = 0.0049168424690856066
万 Freq = 168  TF = 0.0013286829430327188  IDF = 3.6742081765679124  TF-IDF = 0.0048818577333571336
分型 Freq = 97  TF = 0.0007671562230605579  IDF = 6.2986990414757065  TF-IDF = 0.0048320861668536596
开学 Freq = 121  TF = 0.000956968072065232  IDF = 5.042359288215921  TF-IDF = 0.004825376846704205
管理 Freq = 157  TF = 0.0012416858455722433  IDF = 3.883661542196862  TF-IDF = 0.004822287565939113
航班 Freq = 121  TF = 0.000956968072065232  IDF = 4.976770946588344  TF-IDF = 0.004762610897866907
中心 Freq = 168  TF = 0.0013286829430327188  IDF = 3.549760805643424  TF-IDF = 0.0047165066343045
住 Freq = 102  TF = 0.000806700358269865  IDF = 5.824767853143294  TF-IDF = 0.0046988423139694875
人民日报 Freq = 188  TF = 0.0014868594838699472  IDF = 3.155741087633663  TF-IDF = 0.004692143564786174
发热 Freq = 132  TF = 0.0010439651695257077  IDF = 4.491344119418102  TF-IDF = 0.004688806825026609
密切 Freq = 150  TF = 0.0011863240562792132  IDF = 3.945062086861006  TF-IDF = 0.004680122057158286
拍 Freq = 201  TF = 0.0015896742354141458  IDF = 2.8836615421968625  TF-IDF = 0.0045840824572849735
诊断 Freq = 109  TF = 0.000862062147562895  IDF = 5.2591706772890685  TF-IDF = 0.004533731968463619
经营 Freq = 103  TF = 0.0008146091853117265  IDF = 5.5617334473095  TF-IDF = 0.004530639152433772
河北 Freq = 108  TF = 0.0008541533205210335  IDF = 5.2986990414757065  TF-IDF = 0.004525901380718092
密切接触 Freq = 141  TF = 0.0011151446129024605  IDF = 4.042359288215921  TF-IDF = 0.0045078151836702085
抗 Freq = 156  TF = 0.0012337770185303818  IDF = 3.648445080502831  TF-IDF = 0.004501367693694622
医生 Freq = 129  TF = 0.0010202386884001233  IDF = 4.402534852460247  TF-IDF = 0.0044916363835098725
大学 Freq = 157  TF = 0.0012416858455722433  IDF = 3.6106430477904463  TF-IDF = 0.004483284365855222
时分 Freq = 115  TF = 0.0009095151098140635  IDF = 4.8836615421968625  TF-IDF = 0.0044417639638458985
发布会 Freq = 160  TF = 0.0012654123266978275  IDF = 3.491344119418102  TF-IDF = 0.004417989885455638
史 Freq = 115  TF = 0.0009095151098140635  IDF = 4.85391419880281  TF-IDF = 0.00441470830555218
相关 Freq = 156  TF = 0.0012337770185303818  IDF = 3.5617334473095  TF-IDF = 0.0043943848734214535
秒 Freq = 192  TF = 0.001518494792037393  IDF = 2.8911952148822704  TF-IDF = 0.004390264876562158
小区 Freq = 120  TF = 0.0009490592450233706  IDF = 4.610643047790447  TF-IDF = 0.004375773410008253
疫苗 Freq = 102  TF = 0.000806700358269865  IDF = 5.424229923559565  TF-IDF = 0.004375728222673624
调查 Freq = 126  TF = 0.000996512207274539  IDF = 4.3600995861398495  TF-IDF = 0.004344892462521025
检查 Freq = 121  TF = 0.000956968072065232  IDF = 4.514427732531144  TF-IDF = 0.004320163203678146
集中 Freq = 135  TF = 0.001067691650651292  IDF = 4.025680547069291  TF-IDF = 0.004298185508295207
期间 Freq = 155  TF = 0.0012258681914885203  IDF = 3.502839758255931  TF-IDF = 0.004294019839527284
严格 Freq = 124  TF = 0.0009806945531908163  IDF = 4.3600995861398495  TF-IDF = 0.004275925915496883
流行 Freq = 132  TF = 0.0010439651695257077  IDF = 4.093584611571094  TF-IDF = 0.004273559752986646
超 Freq = 141  TF = 0.0011151446129024605  IDF = 3.810412560166224  TF-IDF = 0.004249161039405237
报道 Freq = 154  TF = 0.0012179593644466588  IDF = 3.4352010413805685  TF-IDF = 0.0041839352771063775
