武汉 Freq = 526  TF = 0.010354738375526595  IDF = 4.952934862395075  TF-IDF = 0.05128634469112582
加油 Freq = 340  TF = 0.006693176896728218  IDF = 5.798091817165064  TF-IDF = 0.038807654195758136
封 Freq = 217  TF = 0.004271821725264774  IDF = 7.573876660221798  TF-IDF = 0.03235425086161128
口罩 Freq = 278  TF = 0.005472656403795425  IDF = 5.836911066055592  TF-IDF = 0.03194340872403352
❗️ Freq = 164  TF = 0.003228473561951258  IDF = 9.711380183971734  TF-IDF = 0.03135293417401009
浙江 Freq = 216  TF = 0.0042521359108626325  IDF = 7.003560935465043  TF-IDF = 0.029780092957605604
物资 Freq = 230  TF = 0.004527737312492618  IDF = 6.370343266136667  TF-IDF = 0.02884324089947308
湖北 Freq = 204  TF = 0.0040159061380369305  IDF = 6.351484238885351  TF-IDF = 0.0255069645405845
疫情 Freq = 188  TF = 0.0037009331076026616  IDF = 6.192006024878154  TF-IDF = 0.02291620009994671
吃 Freq = 175  TF = 0.0034450175203748178  IDF = 6.379866040255173  TF-IDF = 0.021978750286323383
希望 Freq = 162  TF = 0.0031891019331469744  IDF = 6.458399442801862  TF-IDF = 0.02059649414807476
十字 Freq = 154  TF = 0.0030316154179298397  IDF = 6.711380183971734  TF-IDF = 0.020346323641317512
红十字 Freq = 151  TF = 0.002972557974723414  IDF = 6.747906059996848  TF-IDF = 0.020058541971328083
医院 Freq = 151  TF = 0.002972557974723414  IDF = 6.735627730218411  TF-IDF = 0.02002204392422891
请 Freq = 141  TF = 0.0027756998307019963  IDF = 6.711380183971734  TF-IDF = 0.018628776840427075
云南 Freq = 119  TF = 0.002342611913854876  IDF = 7.664074469193377  TF-IDF = 0.01795395216020339
政府 Freq = 134  TF = 0.0026378991298870035  IDF = 6.798091817165064  TF-IDF = 0.01793268048939168
啊啊啊 Freq = 98  TF = 0.0019292098114098981  IDF = 9.158839160942955  TF-IDF = 0.017669322370416348
人民 Freq = 124  TF = 0.002441040985865585  IDF = 6.850086454803325  TF-IDF = 0.0167213417928976
安徽 Freq = 111  TF = 0.0021851253986377417  IDF = 7.332868560718004  TF-IDF = 0.016023237336897093
病毒 Freq = 109  TF = 0.002145753769833458  IDF = 7.126417683250578  TF-IDF = 0.015291537609242746
