啊啊啊 Freq = 74  TF = 0.004861384837734857  IDF = 10.200898605038445  TF-IDF = 0.04959049380980455
加油 Freq = 93  TF = 0.006109578242018131  IDF = 6.915496386176196  TF-IDF = 0.0422507662537371
武汉 Freq = 90  TF = 0.005912495072920773  IDF = 7.092374148260275  TF-IDF = 0.04193362720689954
国家 Freq = 90  TF = 0.005912495072920773  IDF = 6.972079914542564  TF-IDF = 0.041222388142742795
疫情 Freq = 80  TF = 0.005255551175929575  IDF = 7.0716155880934775  TF-IDF = 0.03716523761972659
湖北 Freq = 67  TF = 0.0044015241098410195  IDF = 7.342917609910873  TF-IDF = 0.0323200288965989
韩国 Freq = 59  TF = 0.003875968992248062  IDF = 7.7414669864011465  TF-IDF = 0.03000568599380289
致敬 Freq = 61  TF = 0.004007357771646301  IDF = 7.246702294651569  TF-IDF = 0.029040128759279048
甘肃 Freq = 52  TF = 0.003416108264354224  IDF = 8.200898605038445  TF-IDF = 0.028015157499802858
辛苦 Freq = 49  TF = 0.0032190250952568653  IDF = 7.615936104317289  TF-IDF = 0.02451588944367016
国人 Freq = 44  TF = 0.0028905531467612665  IDF = 8.113435763788106  TF-IDF = 0.023452317278063108
隔离 Freq = 44  TF = 0.0028905531467612665  IDF = 8.071615588093477  TF-IDF = 0.023331433837610892
希望 Freq = 46  TF = 0.003021941926159506  IDF = 7.677336648981432  TF-IDF = 0.023200465500797914
吃 Freq = 43  TF = 0.002824858757062147  IDF = 7.915496386176196  TF-IDF = 0.022360159282983603
病毒 Freq = 42  TF = 0.0027591643673630273  IDF = 8.030973603596133  TF-IDF = 0.022158776202275493
重庆 Freq = 41  TF = 0.0026934699776639077  IDF = 8.15650448567999  TF-IDF = 0.021969299954860046
人民 Freq = 42  TF = 0.0027591643673630273  IDF = 7.9529710915948595  TF-IDF = 0.021943554450596776
医护 Freq = 39  TF = 0.002562081198265668  IDF = 8.030973603596133  TF-IDF = 0.02057600647354153
一线 Freq = 39  TF = 0.002562081198265668  IDF = 7.991445239409495  TF-IDF = 0.020474731594860747
英雄 Freq = 38  TF = 0.0024963868085665485  IDF = 7.915496386176196  TF-IDF = 0.019760140761706443
健康 Freq = 35  TF = 0.0022993036394691893  IDF = 8.15650448567999  TF-IDF = 0.01875428044927077
爱 Freq = 35  TF = 0.0022993036394691893  IDF = 8.071615588093477  TF-IDF = 0.018559095098099575
医院 Freq = 32  TF = 0.00210222047037183  IDF = 8.808581182259685  TF-IDF = 0.018517579676278408
请 Freq = 32  TF = 0.00210222047037183  IDF = 8.39354368298084  TF-IDF = 0.017645079349322485
第一 Freq = 31  TF = 0.0020365260806727106  IDF = 8.39354368298084  TF-IDF = 0.017093670619656158
医护人员 Freq = 31  TF = 0.0020365260806727106  IDF = 8.342917609910872  TF-IDF = 0.016990569301487127
电影 Freq = 31  TF = 0.0020365260806727106  IDF = 8.342917609910872  TF-IDF = 0.016990569301487127
天津 Freq = 30  TF = 0.001970831690973591  IDF = 8.615936104317289  TF-IDF = 0.016980559921792055
快乐 Freq = 28  TF = 0.0018394429115753514  IDF = 8.39354368298084  TF-IDF = 0.015439444430657173
走 Freq = 27  TF = 0.0017737485218762318  IDF = 8.39354368298084  TF-IDF = 0.014888035700990846
口罩 Freq = 25  TF = 0.0016423597424779924  IDF = 8.95297109159486  TF-IDF = 0.014703999296404644
钟 Freq = 25  TF = 0.0016423597424779924  IDF = 8.67733664898143  TF-IDF = 0.014251308384215988
老 Freq = 25  TF = 0.0016423597424779924  IDF = 8.615936104317289  TF-IDF = 0.01415046660149338
一路 Freq = 25  TF = 0.0016423597424779924  IDF = 8.500458886897352  TF-IDF = 0.013960811468429497
确诊 Freq = 24  TF = 0.0015766653527788726  IDF = 8.741466986401146  TF-IDF = 0.013782368129919032
领导 Freq = 24  TF = 0.0015766653527788726  IDF = 8.741466986401146  TF-IDF = 0.013782368129919032
政府 Freq = 24  TF = 0.0015766653527788726  IDF = 8.67733664898143  TF-IDF = 0.013681256048847347
黑龙江 Freq = 23  TF = 0.001510970963079753  IDF = 9.030973603596133  TF-IDF = 0.013645538883373476
龙江 Freq = 23  TF = 0.001510970963079753  IDF = 9.030973603596133  TF-IDF = 0.013645538883373476
小区 Freq = 22  TF = 0.0014452765733806332  IDF = 9.294008009429927  TF-IDF = 0.013432412048841045
猪肉 Freq = 23  TF = 0.001510970963079753  IDF = 8.878970510151081  TF-IDF = 0.013415866622879705
感染 Freq = 22  TF = 0.0014452765733806332  IDF = 8.95297109159486  TF-IDF = 0.012939519380836087
回来 Freq = 22  TF = 0.0014452765733806332  IDF = 8.741466986401146  TF-IDF = 0.01263383745242578
天 Freq = 22  TF = 0.0014452765733806332  IDF = 8.741466986401146  TF-IDF = 0.01263383745242578
出 Freq = 21  TF = 0.0013795821836815136  IDF = 9.030973603596133  TF-IDF = 0.012458970284819262
赞 Freq = 21  TF = 0.0013795821836815136  IDF = 9.030973603596133  TF-IDF = 0.012458970284819262
医疗 Freq = 21  TF = 0.0013795821836815136  IDF = 8.878970510151081  TF-IDF = 0.012249269525237992
宝贝 Freq = 21  TF = 0.0013795821836815136  IDF = 8.808581182259685  TF-IDF = 0.012152161662557705
学校 Freq = 20  TF = 0.0013138877939823938  IDF = 9.200898605038445  TF-IDF = 0.012088948370829647
孝感 Freq = 20  TF = 0.0013138877939823938  IDF = 9.200898605038445  TF-IDF = 0.012088948370829647
哈尔 Freq = 19  TF = 0.0012481934042832743  IDF = 9.39354368298084  TF-IDF = 0.011724959267943499
一次 Freq = 20  TF = 0.0013138877939823938  IDF = 8.808581182259685  TF-IDF = 0.011573487297674004
年轻 Freq = 20  TF = 0.0013138877939823938  IDF = 8.808581182259685  TF-IDF = 0.011573487297674004
兰州 Freq = 18  TF = 0.0011824990145841545  IDF = 9.741466986401146  TF-IDF = 0.01151927511202343
病例 Freq = 19  TF = 0.0012481934042832743  IDF = 9.113435763788106  TF-IDF = 0.011375330410719618
相信 Freq = 19  TF = 0.0012481934042832743  IDF = 9.030973603596133  TF-IDF = 0.011272401686265046
物资 Freq = 19  TF = 0.0012481934042832743  IDF = 9.030973603596133  TF-IDF = 0.011272401686265046
