Vocabularies loaded: 14753

特朗普 Freq = 158  TF = 0.0028091385900968976  IDF = 4.821723212345842  TF-IDF = 0.013544888746566681
自由 Freq = 62  TF = 0.0011023202062405547  IDF = 6.361456459074  TF-IDF = 0.007012361995956761
大国 Freq = 56  TF = 0.0009956440572495332  IDF = 6.388423506674269  TF-IDF = 0.006360595899613459
今天 Freq = 56  TF = 0.0009956440572495332  IDF = 6.334984247712809  TF-IDF = 0.006307389419004663
学校 Freq = 52  TF = 0.0009245266245888524  IDF = 6.758791956619385  TF-IDF = 0.006248683113951606
里 Freq = 55  TF = 0.000977864699084363  IDF = 6.308989039179864  TF-IDF = 0.006169337668324163
甜 Freq = 55  TF = 0.000977864699084363  IDF = 6.308989039179864  TF-IDF = 0.006169337668324163
杰瑞 Freq = 54  TF = 0.0009600853409191928  IDF = 6.415904243096377  TF-IDF = 0.006159815612538081
症状 Freq = 52  TF = 0.0009245266245888524  IDF = 6.592782005180456  TF-IDF = 0.006095202493899612
可爱 Freq = 54  TF = 0.0009600853409191928  IDF = 6.334984247712809  TF-IDF = 0.006082125511183068
输入 Freq = 53  TF = 0.0009423059827540225  IDF = 6.443918619265973  TF-IDF = 0.006072143067314366
青春 Freq = 51  TF = 0.0009067472664236821  IDF = 6.624490864907794  TF-IDF = 0.006006738983203796
国外 Freq = 47  TF = 0.0008356298337630012  IDF = 6.830941742375221  TF-IDF = 0.0057081387126257516
战 Freq = 48  TF = 0.0008534091919281713  IDF = 6.6569123426001715  TF-IDF = 0.005681070183035083
过去 Freq = 47  TF = 0.0008356298337630012  IDF = 6.758791956619385  TF-IDF = 0.005647848199148566
狗 Freq = 45  TF = 0.0008000711174326607  IDF = 7.028881119987129  TF-IDF = 0.005623604771969434
万 Freq = 46  TF = 0.0008178504755978309  IDF = 6.868416447793884  TF-IDF = 0.0056173376584321925
留学 Freq = 44  TF = 0.0007822917592674904  IDF = 7.162147650850594  TF-IDF = 0.005602889085917434
俊 Freq = 45  TF = 0.0008000711174326607  IDF = 6.946418959795157  TF-IDF = 0.005557629179318731
定要 Freq = 48  TF = 0.0008534091919281713  IDF = 6.5016341171222605  TF-IDF = 0.005548554318105938
钟 Freq = 45  TF = 0.0008000711174326607  IDF = 6.758791956619385  TF-IDF = 0.00540751423322735
关注 Freq = 45  TF = 0.0008000711174326607  IDF = 6.758791956619385  TF-IDF = 0.00540751423322735
