Vocabularies loaded: 3223
关切   武汉 Freq = 147  TF = 0.018685648913181644  IDF = 2.030879312883972  TF-IDF = 0.03794829782559348
焦虑   病毒 Freq = 69  TF = 0.00877081479598322  IDF = 3.0588936890535687  TF-IDF = 0.026828990027290736
理性   口罩 Freq = 52  TF = 0.006609889411465616  IDF = 3.445916812162816  TF-IDF = 0.022777129049506347
希望   希望 Freq = 52  TF = 0.006609889411465616  IDF = 3.2077570749680517  TF-IDF = 0.02120291952438524
生气  吃 Freq = 40  TF = 0.005084530316512012  IDF = 3.5613940295827518  TF-IDF = 0.018108015912458378
祝福/担心？  平安 Freq = 39  TF = 0.004957417058599212  IDF = 3.4093909361377017  TF-IDF = 0.016901772786242577
关切  医护 Freq = 25  TF = 0.0031778314478200075  IDF = 4.409390936137702  TF-IDF = 0.014012301182590892
焦虑/担心   非典 Freq = 23  TF = 0.002923604931994407  IDF = 4.561394029582752  TF-IDF = 0.013335714081657978
关切  医护人员 Freq = 22  TF = 0.002796491674081607  IDF = 4.561394029582752  TF-IDF = 0.012755900425933718
生气  野味 Freq = 22  TF = 0.002796491674081607  IDF = 4.207757074968051  TF-IDF = 0.011766957626706131
焦虑  传染 Freq = 20  TF = 0.002542265158256006  IDF = 4.561394029582752  TF-IDF = 0.011596273114485196
担心  注意 Freq = 21  TF = 0.0026693784161688065  IDF = 4.271887412387767  TF-IDF = 0.011403284054931118
祝福/担心？   挺住 Freq = 21  TF = 0.0026693784161688065  IDF = 4.271887412387767  TF-IDF = 0.011403284054931118
祝福/担心？   加油 Freq = 20  TF = 0.002542265158256006  IDF = 4.483391517581479  TF-IDF = 0.011397970045967914
积极/有信心   相信 Freq = 20  TF = 0.002542265158256006  IDF = 4.409390936137702  TF-IDF = 0.011209840946072714
理性   做好 Freq = 20  TF = 0.002542265158256006  IDF = 4.409390936137702  TF-IDF = 0.011209840946072714
生气  动物 Freq = 18  TF = 0.0022880386424304054  IDF = 4.824428435416546  TF-IDF = 0.011038478687873117
担心/关心  感染 Freq = 19  TF = 0.0024151519003432057  IDF = 4.561394029582752  TF-IDF = 0.011016459458760937
担心/关心  冠状 Freq = 17  TF = 0.002160925384517605  IDF = 4.923964108967461  TF-IDF = 0.010640319035521395
担心  定要 Freq = 18  TF = 0.0022880386424304054  IDF = 4.643856189774724  TF-IDF = 0.010625322412094195
感动/理性？  院士 Freq = 17  TF = 0.002160925384517605  IDF = 4.824428435416546  TF-IDF = 0.010425229871880166
担心  冠状病毒 Freq = 16  TF = 0.002033812126604805  IDF = 5.030879312883972  TF-IDF = 0.010231863354028672
担心/害怕?  防护 Freq = 17  TF = 0.002160925384517605  IDF = 4.731319031025064  TF-IDF = 0.0102240273963933
？  医生 Freq = 17  TF = 0.002160925384517605  IDF = 4.643856189774724  TF-IDF = 0.010035026722533407
生气  野生 Freq = 16  TF = 0.002033812126604805  IDF = 4.923964108967461  TF-IDF = 0.010014417915784845
生气  野生动物 Freq = 16  TF = 0.002033812126604805  IDF = 4.923964108967461  TF-IDF = 0.010014417915784845
期盼  出门 Freq = 16  TF = 0.002033812126604805  IDF = 4.923964108967461  TF-IDF = 0.010014417915784845
期盼/焦虑  过年 Freq = 17  TF = 0.002160925384517605  IDF = 4.561394029582752  TF-IDF = 0.009856832147312417
关切  山西 Freq = 15  TF = 0.0019066988686920045  IDF = 4.923964108967461  TF-IDF = 0.009388516796048291
理性  重视 Freq = 14  TF = 0.0017795856107792043  IDF = 5.271887412387767  TF-IDF = 0.009381774980733283
感动  辛苦 Freq = 15  TF = 0.0019066988686920045  IDF = 4.731319031025064  TF-IDF = 0.009021200643876442
祝福  愿 Freq = 15  TF = 0.0019066988686920045  IDF = 4.731319031025064  TF-IDF = 0.009021200643876442
担心  保护 Freq = 14  TF = 0.0017795856107792043  IDF = 4.923964108967461  TF-IDF = 0.008762615676311739
理性/期盼  国家 Freq = 14  TF = 0.0017795856107792043  IDF = 4.824428435416546  TF-IDF = 0.008585483423901315
理性  原因 Freq = 14  TF = 0.0017795856107792043  IDF = 4.824428435416546  TF-IDF = 0.008585483423901315
害怕/恐慌  恐慌 Freq = 14  TF = 0.0017795856107792043  IDF = 4.824428435416546  TF-IDF = 0.008585483423901315
？（太难分了，也可以是害怕也可以是期盼）  啊啊啊 Freq = 10  TF = 0.001271132579128003  IDF = 6.731319031025064  TF-IDF = 0.0085563989208403
关切  肺炎 Freq = 13  TF = 0.001652472352866404  IDF = 5.030879312883972  TF-IDF = 0.008313388975148295
关切  新型 Freq = 13  TF = 0.001652472352866404  IDF = 5.030879312883972  TF-IDF = 0.008313388975148295
关切  陕西 Freq = 13  TF = 0.001652472352866404  IDF = 4.923964108967461  TF-IDF = 0.008136714556575187
？  一天 Freq = 12  TF = 0.0015253590949536036  IDF = 5.271887412387767  TF-IDF = 0.0080415214120571
生气  骂 Freq = 12  TF = 0.0015253590949536036  IDF = 5.146356530303908  TF-IDF = 0.007850041739372936
担心？  健康 Freq = 12  TF = 0.0015253590949536036  IDF = 5.146356530303908  TF-IDF = 0.007850041739372936
感动/理性  钟 Freq = 12  TF = 0.0015253590949536036  IDF = 5.146356530303908  TF-IDF = 0.007850041739372936
关切/感动  医务 Freq = 12  TF = 0.0015253590949536036  IDF = 5.146356530303908  TF-IDF = 0.007850041739372936
关切/感动  医务人员 Freq = 12  TF = 0.0015253590949536036  IDF = 5.146356530303908  TF-IDF = 0.007850041739372936
害怕/恐慌  可怕 Freq = 12  TF = 0.0015253590949536036  IDF = 5.146356530303908  TF-IDF = 0.007850041739372936
？  短信 Freq = 11  TF = 0.0013982458370408034  IDF = 5.561394029582752  TF-IDF = 0.007776196050007662
理性  专家 Freq = 12  TF = 0.0015253590949536036  IDF = 5.030879312883972  TF-IDF = 0.007673897515521502
理性  官方 Freq = 11  TF = 0.0013982458370408034  IDF = 5.409390936137702  TF-IDF = 0.007563658357380796
关心  例 Freq = 10  TF = 0.001271132579128003  IDF = 5.923964108967461  TF-IDF = 0.0075301437764935305
？  人民 Freq = 11  TF = 0.0013982458370408034  IDF = 5.271887412387767  TF-IDF = 0.007371394627719009
期盼  年 Freq = 11  TF = 0.0013982458370408034  IDF = 5.146356530303908  TF-IDF = 0.0071958715944251935
关心  传人 Freq = 11  TF = 0.0013982458370408034  IDF = 5.146356530303908  TF-IDF = 0.0071958715944251935
关心  传播 Freq = 11  TF = 0.0013982458370408034  IDF = 5.146356530303908  TF-IDF = 0.0071958715944251935
担心  护好 Freq = 11  TF = 0.0013982458370408034  IDF = 5.146356530303908  TF-IDF = 0.0071958715944251935
担心  朋友 Freq = 10  TF = 0.001271132579128003  IDF = 5.409390936137702  TF-IDF = 0.00687605305216436
祝福/担心？  平平 Freq = 10  TF = 0.001271132579128003  IDF = 5.271887412387767  TF-IDF = 0.006701267843380917
祝福/担心？  平平安安 Freq = 10  TF = 0.001271132579128003  IDF = 5.271887412387767  TF-IDF = 0.006701267843380917
祝福/担心？  安安 Freq = 10  TF = 0.001271132579128003  IDF = 5.271887412387767  TF-IDF = 0.006701267843380917
祝福/担心  一线 Freq = 10  TF = 0.001271132579128003  IDF = 5.271887412387767  TF-IDF = 0.006701267843380917
理性  不信 Freq = 10  TF = 0.001271132579128003  IDF = 5.271887412387767  TF-IDF = 0.006701267843380917
理性/担心？  安全 Freq = 10  TF = 0.001271132579128003  IDF = 5.271887412387767  TF-IDF = 0.006701267843380917
期盼  早日 Freq = 10  TF = 0.001271132579128003  IDF = 5.271887412387767  TF-IDF = 0.006701267843380917
理性  不出 Freq = 9  TF = 0.0011440193212152027  IDF = 5.561394029582752  TF-IDF = 0.006362342222733541
？  普通 Freq = 9  TF = 0.0011440193212152027  IDF = 5.561394029582752  TF-IDF = 0.006362342222733541
理性   措施 Freq = 9  TF = 0.0011440193212152027  IDF = 5.561394029582752  TF-IDF = 0.006362342222733541
期盼/积极有信心   没事 Freq = 9  TF = 0.0011440193212152027  IDF = 5.561394029582752  TF-IDF = 0.006362342222733541
理性  造谣 Freq = 9  TF = 0.0011440193212152027  IDF = 5.561394029582752  TF-IDF = 0.006362342222733541
关切  河北 Freq = 9  TF = 0.0011440193212152027  IDF = 5.561394029582752  TF-IDF = 0.006362342222733541
担心  春运 Freq = 9  TF = 0.0011440193212152027  IDF = 5.561394029582752  TF-IDF = 0.006362342222733541
期盼  政府 Freq = 9  TF = 0.0011440193212152027  IDF = 5.409390936137702  TF-IDF = 0.006188447746947923
