Vocabularies loaded: 31571
病毒 Freq = 2887  TF = 0.011020514112518419  IDF = 3.2022315645589083  TF-IDF = 0.035290238148773384
例 Freq = 1517  TF = 0.005790827817350343  IDF = 5.046003885252133  TF-IDF = 0.02922053966517596
武汉 Freq = 2761  TF = 0.010539535664933618  IDF = 2.5796858810295955  TF-IDF = 0.027188691347437125
口罩 Freq = 1949  TF = 0.0074398967804982325  IDF = 3.0844780330667687  TF-IDF = 0.022948198187730973
冠状 Freq = 1238  TF = 0.004725804111983998  IDF = 4.566010944132519  TF-IDF = 0.021578073295145394
冠状病毒 Freq = 1221  TF = 0.004660910194452715  IDF = 4.604632238159827  TF-IDF = 0.021461777340544757
感染 Freq = 1507  TF = 0.005752654924684883  IDF = 3.599051205896527  TF-IDF = 0.020704099643793723
病例 Freq = 1236  TF = 0.004718169533450906  IDF = 4.1937947274102685  TF-IDF = 0.019787034512414176
新型 Freq = 1141  TF = 0.004355527053129032  IDF = 4.3679319801394945  TF-IDF = 0.01902464590572503
肺炎 Freq = 1162  TF = 0.004435690127726499  IDF = 4.00852917983347  TF-IDF = 0.017780593309690923
医院 Freq = 1307  TF = 0.004989197071375674  IDF = 3.525747073918792  TF-IDF = 0.01759064697560699
疫情 Freq = 1209  TF = 0.0046151027232541626  IDF = 3.7059664098130387  TF-IDF = 0.017103415670216608
确诊 Freq = 1154  TF = 0.004405151813594131  IDF = 3.7119776478469  TF-IDF = 0.01635182506743365
患者 Freq = 763  TF = 0.002912591710374629  IDF = 4.6792215545805105  TF-IDF = 0.01362866191087748
传染 Freq = 833  TF = 0.0031798019590328517  IDF = 4.00852917983347  TF-IDF = 0.01274632893887482
呼吸 Freq = 610  TF = 0.0023285464525930845  IDF = 4.936379394077635  TF-IDF = 0.011494588726733077
卫生 Freq = 600  TF = 0.0022903735599276243  IDF = 4.915419775441989  TF-IDF = 0.011258147489617712
传播 Freq = 646  TF = 0.002465968866188742  IDF = 4.517827410622554  TF-IDF = 0.01114082173740932
接触 Freq = 585  TF = 0.0022331142209294336  IDF = 4.7893110062921656  TF-IDF = 0.010695078516604891
治疗 Freq = 565  TF = 0.002156768435598513  IDF = 4.881149873357242  TF-IDF = 0.010527509976282578
国家 Freq = 632  TF = 0.0024125268164570976  IDF = 4.276009490698455  TF-IDF = 0.01031598756373508
防护 Freq = 588  TF = 0.0022445660887290718  IDF = 4.571465374224627  TF-IDF = 0.010260956154783753
戴 Freq = 654  TF = 0.0024965071803211103  IDF = 3.9363793940776346  TF-IDF = 0.009827199421782876
湖北 Freq = 575  TF = 0.002194941328263973  IDF = 4.450952566907393  TF-IDF = 0.009769579739247653
死亡 Freq = 546  TF = 0.002084239939534138  IDF = 4.667492261998404  TF-IDF = 0.009728173789923609
疑似 Freq = 539  TF = 0.002057518914668316  IDF = 4.721041730275137  TF-IDF = 0.009713632656979528
医疗 Freq = 544  TF = 0.002076605361001046  IDF = 4.661663183196206  TF-IDF = 0.009680434757406441
病毒感染 Freq = 418  TF = 0.001595626913416245  IDF = 5.957648010831286  TF-IDF = 0.009506183506743156
隔离 Freq = 539  TF = 0.002057518914668316  IDF = 4.481433173362154  TF-IDF = 0.009220633519014686
新增 Freq = 422  TF = 0.001610896070482429  IDF = 5.661663183196205  TF-IDF = 0.009120350974205807
症状 Freq = 506  TF = 0.0019315483688722964  IDF = 4.673344988243841  TF-IDF = 0.009026791889219912
发热 Freq = 433  TF = 0.0016528862524144354  IDF = 5.148253943500084  TF-IDF = 0.008509478167149693
非典 Freq = 458  TF = 0.0017483184840780864  IDF = 4.776655705486137  TF-IDF = 0.008351115461978465
吃 Freq = 485  TF = 0.0018513852942748296  IDF = 4.358471650890429  TF-IDF = 0.00806921031997228
物资 Freq = 403  TF = 0.0015383675744180543  IDF = 5.124006397253406  TF-IDF = 0.007882605292645315
预防 Freq = 418  TF = 0.001595626913416245  IDF = 4.86766664399362  TF-IDF = 0.007766979902694752
希望 Freq = 490  TF = 0.0018704717406075597  IDF = 4.11203375558733  TF-IDF = 0.007691442936250474
检测 Freq = 364  TF = 0.0013894932930227587  IDF = 5.507335036804911  TF-IDF = 0.007652405096069672
委 Freq = 330  TF = 0.0012597054579601933  IDF = 6.030896992861925  TF-IDF = 0.007597153858303884
洗手 Freq = 405  TF = 0.0015460021529511464  IDF = 4.802078302366043  TF-IDF = 0.007424023394097889
防控 Freq = 339  TF = 0.0012940610613591077  IDF = 5.708968897974563  TF-IDF = 0.007387754351379098
年 Freq = 389  TF = 0.0014849255246864098  IDF = 4.908500361502198  TF-IDF = 0.007288757474727084
武汉市 Freq = 329  TF = 0.0012558881686936473  IDF = 5.708968897974563  TF-IDF = 0.007169826494406263
措施 Freq = 377  TF = 0.0014391180534878572  IDF = 4.834499780058421  TF-IDF = 0.0069574159130651484
医用 Freq = 315  TF = 0.0012024461189620026  IDF = 5.696996256308487  TF-IDF = 0.006850331038139198
严重 Freq = 387  TF = 0.0014772909461533176  IDF = 4.604632238159827  TF-IDF = 0.006802381515799199
一次 Freq = 345  TF = 0.001316964796958384  IDF = 5.132043716318824  TF-IDF = 0.0067587209108433705
动物 Freq = 326  TF = 0.0012444363008940092  IDF = 5.330457274720832  TF-IDF = 0.0066334145330271535
卫 Freq = 290  TF = 0.0011070138872983518  IDF = 5.929358966399863  TF-IDF = 0.006563882718581649
地方 Freq = 388  TF = 0.0014811082354198636  IDF = 4.377454754258002  TF-IDF = 0.006483484286709362
消毒 Freq = 288  TF = 0.0010993793087652596  IDF = 5.860971991419612  TF-IDF = 0.00644343133661944
医生 Freq = 354  TF = 0.0013513204003572984  IDF = 4.727116244684821  TF-IDF = 0.0063878486163029815
传人 Freq = 339  TF = 0.0012940610613591077  IDF = 4.915419775441989  TF-IDF = 0.006360853331634006
咳嗽 Freq = 343  TF = 0.0013093302184252918  IDF = 4.847675168806155  TF-IDF = 0.006347207587627825
诊病 Freq = 291  TF = 0.0011108311765648977  IDF = 5.685122156020195  TF-IDF = 0.006315210933487081
健 Freq = 274  TF = 0.0010459372590336151  IDF = 6.001149649467872  TF-IDF = 0.006276826015414966
政府 Freq = 333  TF = 0.0012711573257598314  IDF = 4.936379394077635  TF-IDF = 0.006274914829511664
病人 Freq = 321  TF = 0.0012253498545612789  IDF = 5.100159655299038  TF-IDF = 0.006249479891859978
健康 Freq = 292  TF = 0.0011146484658314437  IDF = 5.604632238159827  TF-IDF = 0.006247194725814301
控制 Freq = 339  TF = 0.0012940610613591077  IDF = 4.821443627232975  TF-IDF = 0.00623924245754021
密切 Freq = 276  TF = 0.001053571837566707  IDF = 5.915419775441988  TF-IDF = 0.0062323196827908526
出门 Freq = 357  TF = 0.0013627722681569365  IDF = 4.566010944132519  TF-IDF = 0.006222433090764868
注意 Freq = 341  TF = 0.0013016956398921998  IDF = 4.708968897974562  TF-IDF = 0.006129644282881464
相信 Freq = 337  TF = 0.0012864264828260155  IDF = 4.757878498455509  TF-IDF = 0.006120660902481644
医学 Freq = 267  TF = 0.0010192162341677927  IDF = 6.001149649467872  TF-IDF = 0.0061164691464080136
避免 Freq = 299  TF = 0.001141369490697266  IDF = 5.330457274720832  TF-IDF = 0.006084021304831652
疾病 Freq = 307  TF = 0.0011719078048296344  IDF = 5.1895947388809835  TF-IDF = 0.006081726578397433
专家 Freq = 284  TF = 0.0010841101516990755  IDF = 5.5283966523327415  TF-IDF = 0.005993390933413109
今天 Freq = 350  TF = 0.001336051243291114  IDF = 4.461041384530977  TF-IDF = 0.005960179888175724
恐慌 Freq = 316  TF = 0.0012062634082285488  IDF = 4.929358966399863  TF-IDF = 0.005946105347191455
组织 Freq = 271  TF = 0.001034485391233977  IDF = 5.708968897974563  TF-IDF = 0.005905844923963822
消息 Freq = 307  TF = 0.0011719078048296344  IDF = 4.964807802404152  TF-IDF = 0.0058182970131164915
官方 Freq = 304  TF = 0.0011604559370299963  IDF = 5.001149649467872  TF-IDF = 0.005803613802700477
北京 Freq = 277  TF = 0.0010573891268332533  IDF = 5.486576476638114  TF-IDF = 0.0058014463099362425
普通 Freq = 311  TF = 0.0011871769618958185  IDF = 4.874392507181933  TF-IDF = 0.005786766487763989
治愈 Freq = 263  TF = 0.0010039470771016086  IDF = 5.721041730275138  TF-IDF = 0.005743623123086054
十字 Freq = 291  TF = 0.0011108311765648977  IDF = 5.132043716318824  TF-IDF = 0.00570083415958093
重症 Freq = 248  TF = 0.000946687738103418  IDF = 6.001149649467872  TF-IDF = 0.00568121478767486
医护 Freq = 281  TF = 0.0010726582838994374  IDF = 5.293931398695719  TF-IDF = 0.005678579369206298
密切接触 Freq = 242  TF = 0.0009237840025041417  IDF = 6.140126062616683  TF-IDF = 0.005672150230004036
第一 Freq = 294  TF = 0.0011222830443645359  IDF = 4.979234873039432  TF-IDF = 0.005588110871920756
研究 Freq = 246  TF = 0.0009390531595703259  IDF = 5.943434151611585  TF-IDF = 0.005581200618769039
红十字 Freq = 280  TF = 0.0010688409946328914  IDF = 5.206468557445379  TF-IDF = 0.005564887031464794
更新 Freq = 266  TF = 0.0010153989449012467  IDF = 5.445934492140768  TF-IDF = 0.005529796137321043
染病 Freq = 268  TF = 0.0010230335234343389  IDF = 5.339735088308844  TF-IDF = 0.005462728001598567
部分 Freq = 280  TF = 0.0010688409946328914  IDF = 5.108064853384384  TF-IDF = 0.00545970911854068
天 Freq = 278  TF = 0.0010612064160997992  IDF = 5.124006397253406  TF-IDF = 0.005437628464901731
感冒 Freq = 275  TF = 0.001049754548300161  IDF = 5.124006397253406  TF-IDF = 0.005378949021035885
及时 Freq = 255  TF = 0.0009734087629692402  IDF = 5.466112374078399  TF-IDF = 0.005320761684302512
观察 Freq = 230  TF = 0.0008779765313055893  IDF = 6.030896992861925  TF-IDF = 0.005294986022454222
朋友 Freq = 276  TF = 0.001053571837566707  IDF = 4.993807674126704  TF-IDF = 0.005261335127684395
信息 Freq = 259  TF = 0.0009886779200354245  IDF = 5.267131339352003  TF-IDF = 0.005207496457143938
做好 Freq = 273  TF = 0.001042119969767069  IDF = 4.993807674126704  TF-IDF = 0.0052041467023834775
市场 Freq = 244  TF = 0.0009314185810372339  IDF = 5.5283966523327415  TF-IDF = 0.005149251365326756
呼吸道 Freq = 233  TF = 0.0008894283991052274  IDF = 5.782969479418339  TF-IDF = 0.005143537286153444
相关 Freq = 246  TF = 0.0009390531595703259  IDF = 5.476308141184287  TF-IDF = 0.005142544462759803
机构 Freq = 231  TF = 0.0008817938205721353  IDF = 5.821443627232974  TF-IDF = 0.0051333130173030735
通报 Freq = 214  TF = 0.0008168999030408527  IDF = 6.172915997734353  TF-IDF = 0.005042654480028521
