Vocabularies loaded: 15768
确诊 Freq = 727  TF = 0.010591028946870038  IDF = 3.3673522377773786  TF-IDF = 0.035663725024607816
病例 Freq = 542  TF = 0.007895925294640387  IDF = 4.296269139715895  TF-IDF = 0.03392302017286563
例 Freq = 386  TF = 0.005623297350057544  IDF = 5.7743164365205395  TF-IDF = 0.03247069831587967
湖北 Freq = 573  TF = 0.008347537257986976  IDF = 3.846961738352306  TF-IDF = 0.03211265644094622
武汉 Freq = 538  TF = 0.007837652783240825  IDF = 3.51020899602152  TF-IDF = 0.027511799307425047
疫情 Freq = 428  TF = 0.006235158719752924  IDF = 4.058109402521131  TF-IDF = 0.02530295622684096
新增 Freq = 372  TF = 0.005419343560159084  IDF = 4.494208517327804  TF-IDF = 0.024355659986392542
疑似 Freq = 390  TF = 0.0056815698614571045  IDF = 4.004242530542395  TF-IDF = 0.022750383679494404
病毒 Freq = 323  TF = 0.004705505295514474  IDF = 4.362502838115982  TF-IDF = 0.020527780206451674
感染 Freq = 340  TF = 0.004953163468962604  IDF = 4.122239739940847  TF-IDF = 0.02041812729018091
临床 Freq = 244  TF = 0.0035546231953731628  IDF = 5.3918467996981265  TF-IDF = 0.019165983700105516
诊断 Freq = 207  TF = 0.003015602464927232  IDF = 5.604391435078227  TF-IDF = 0.01690061662603897
医院 Freq = 234  TF = 0.0034089419168742627  IDF = 4.748781344413403  TF-IDF = 0.016188319779041362
患者 Freq = 212  TF = 0.003088443104176682  IDF = 4.981758516391016  TF-IDF = 0.015385877736621293
隔离 Freq = 220  TF = 0.0032049881269758025  IDF = 4.674780762969625  TF-IDF = 0.014982616841532532
肺炎 Freq = 189  TF = 0.002753376163629212  IDF = 5.296269139715895  TF-IDF = 0.014582621205458739
死亡 Freq = 188  TF = 0.002738808035779322  IDF = 5.011815750247196  TF-IDF = 0.013726401250622392
下降 Freq = 158  TF = 0.0023017642002826216  IDF = 5.515582168120371  TF-IDF = 0.012695569578296675
冠 Freq = 151  TF = 0.0021997873053333917  IDF = 5.604391435078227  TF-IDF = 0.012328469133004274
疑似病例 Freq = 157  TF = 0.0022871960724327317  IDF = 5.352852668082264  TF-IDF = 0.012243023598748822
口罩 Freq = 152  TF = 0.0022143554331832817  IDF = 5.296269139715895  TF-IDF = 0.011727822345130838
诊病 Freq = 144  TF = 0.0020978104103841614  IDF = 5.473146901799975  TF-IDF = 0.011481624548157807
治疗 Freq = 147  TF = 0.0021415147939338316  IDF = 5.314884817883243  TF-IDF = 0.011381904465551283
接触 Freq = 132  TF = 0.0019229928761854815  IDF = 5.8537509040149445  TF-IDF = 0.011256721287385061
复工 Freq = 155  TF = 0.002258059816732952  IDF = 4.981758516391016  TF-IDF = 0.01124910872252972
检测 Freq = 141  TF = 0.0020541060268344916  IDF = 5.473146901799975  TF-IDF = 0.011242424036737855
天 Freq = 150  TF = 0.0021852191774835014  IDF = 5.058109402521131  TF-IDF = 0.011053077668198791
医疗 Freq = 149  TF = 0.0021706510496336115  IDF = 5.073876718379448  TF-IDF = 0.011013615824461892
治愈 Freq = 122  TF = 0.0017773115976865814  IDF = 5.7743164365205395  TF-IDF = 0.010262759571340208
湖北省 Freq = 124  TF = 0.0018064478533863612  IDF = 5.55930354554969  TF-IDF = 0.010042591956181424
预测 Freq = 114  TF = 0.0016607665748874611  IDF = 6.0270825069005065  TF-IDF = 0.010009577171549287
地区 Freq = 120  TF = 0.0017481753419868013  IDF = 5.723690363450572  TF-IDF = 0.010006014358551764
重症 Freq = 119  TF = 0.0017336072141369112  IDF = 5.748781344413403  TF-IDF = 0.009966128811170765
病人 Freq = 122  TF = 0.0017773115976865814  IDF = 5.3918467996981265  TF-IDF = 0.009582991850052758
加油 Freq = 138  TF = 0.0020104016432848214  IDF = 4.736181307633768  TF-IDF = 0.009521626683761783
症状 Freq = 121  TF = 0.0017627434698366912  IDF = 5.352852668082264  TF-IDF = 0.00943570608565992
医生 Freq = 117  TF = 0.0017044709584371313  IDF = 5.494208517327805  TF-IDF = 0.009364718857383174
核酸 Freq = 101  TF = 0.001471380912838891  IDF = 6.2597432636907815  TF-IDF = 0.00921046675746644
