Vocabularies loaded: 66513
疫情 Freq = 5302  TF = 0.0064545503240666345  IDF = 3.3204720100745324  TF-IDF = 0.021432153688680764
武汉 Freq = 4699  TF = 0.005720470006184292  IDF = 3.5579180396497954  TF-IDF = 0.02035296343027867
病毒 Freq = 3311  TF = 0.004030746156730409  IDF = 4.118838148904882  TF-IDF = 0.016601991038892948
国家 Freq = 3256  TF = 0.003963790240505651  IDF = 3.7482205611029302  TF-IDF = 0.01485716007936241
口罩 Freq = 2782  TF = 0.00338675198067774  IDF = 4.143253570764986  TF-IDF = 0.014032172237238435
医院 Freq = 2526  TF = 0.003075102625158868  IDF = 4.506623325931428  TF-IDF = 0.013858329220173923
意义 Freq = 2588  TF = 0.003150580203448595  IDF = 3.8707368900475996  TF-IDF = 0.012195067018542147
积极 Freq = 2501  TF = 0.0030446681177839783  IDF = 3.8997508722921057  TF-IDF = 0.011873447148168032
吃 Freq = 2157  TF = 0.002625889296305494  IDF = 4.099164729850462  TF-IDF = 0.01076395278790733
极意 Freq = 1763  TF = 0.0021462414600772308  IDF = 4.351168807297449  TF-IDF = 0.00933865889401658
医疗 Freq = 1636  TF = 0.0019916341626127904  IDF = 4.636086331029693  TF-IDF = 0.009233387917700927
感染 Freq = 1577  TF = 0.0019198087252080504  IDF = 4.802864777155141  TF-IDF = 0.009220581705176858
积极意义 Freq = 1728  TF = 0.0021036331497523847  IDF = 4.3602464689649265  TF-IDF = 0.009172359013205402
一次 Freq = 1615  TF = 0.001966069176417883  IDF = 4.519640211598262  TF-IDF = 0.008885925308522141
湖北 Freq = 1467  TF = 0.001785896892758535  IDF = 4.790541498705011  TF-IDF = 0.008555413177168094
政府 Freq = 1440  TF = 0.001753027624793654  IDF = 4.801097850980953  TF-IDF = 0.008416457162107056
肺炎 Freq = 1413  TF = 0.001720158356828773  IDF = 4.787039809993458  TF-IDF = 0.008234466533632268
希望 Freq = 1552  TF = 0.0018893742178331605  IDF = 4.339580833022237  TF-IDF = 0.008199092142115163
年 Freq = 1348  TF = 0.0016410286376540594  IDF = 4.97345293422434  TF-IDF = 0.008161578693086752
医生 Freq = 1306  TF = 0.0015898986652642445  IDF = 5.036498266548375  TF-IDF = 0.008007521871590944
人民 Freq = 1409  TF = 0.0017152888356487908  IDF = 4.651922879080401  TF-IDF = 0.007979391378785792
